Id,Title,Description,Project,Type,Assigned To,Priority,Created On,Due Date,Status,Effort,Hours Remaining,Plan Hours,Sprint,Tags,Edit From,Edit To,Milestone
,A.1 - Audit current initialization flow,"Map the current flow through BoardManager.initialize(), loadData(), and related methods. Document what happens and in what order.",ReWord Rewrite and Release,,paul@patriotguitars.com,1,,,NEW,4,,,,,,,Phase A — Fix Loading/State
,A.2 - Fix cold start board loading,Ensure app launches → board loads → playable state every time without manual restart.,ReWord Rewrite and Release,,paul@patriotguitars.com,1,,,NEW,3,,,,,,,Phase A — Fix Loading/State
,A.3 - Eliminate race conditions,Identify and fix any async race conditions in the initialization sequence. Grid must be fully loaded before UI renders.,ReWord Rewrite and Release,,paul@patriotguitars.com,1,,,NEW,3,,,,,,,Phase A — Fix Loading/State
,A.4 - Fix background resume state,App backgrounded → resumed → state preserved correctly. Test didChangeAppLifecycleState handlers.,ReWord Rewrite and Release,,paul@patriotguitars.com,1,,,NEW,4,,,,,,,Phase A — Fix Loading/State
,A.5 - Verify saveState/restoreState,Ensure saveState() and restoreState() work reliably. Handle edge case where device kills app while backgrounded.,ReWord Rewrite and Release,,paul@patriotguitars.com,2,,,NEW,4,,,,,,,Phase A — Fix Loading/State
,A.6 - Fix daily board rollover,Midnight rollover loads new board without restart. isBoardExpired() logic works correctly across timezones.,ReWord Rewrite and Release,,paul@patriotguitars.com,2,,,NEW,4,,,,,,,Phase A — Fix Loading/State
,A.7 - Prevent duplicate loads,Loading only triggers once per session. No duplicate API calls for same board. Add loading guards/flags.,ReWord Rewrite and Release,,paul@patriotguitars.com,2,,,NEW,4,,,,,,,Phase A — Fix Loading/State
,A.8 - Ensure UI data integrity,UI never sees half-loaded data. Grid waits for complete data. Loading indicator shown until ready.,ReWord Rewrite and Release,,paul@patriotguitars.com,2,,,NEW,4,,,,,,,Phase A — Fix Loading/State
,A.9 - Add error state handling,Display proper error state if load fails. User can retry or gets helpful message.,ReWord Rewrite and Release,,paul@patriotguitars.com,3,,,NEW,5,,,,,,,Phase A — Fix Loading/State
,A.10 - Test on Android device,Full end-to-end testing on Android physical device or emulator.,ReWord Rewrite and Release,,paul@patriotguitars.com,1,,,NEW,4,,,,,,,Phase A — Fix Loading/State
,A.11 - Test on iOS device,Full end-to-end testing on iOS physical device or simulator.,ReWord Rewrite and Release,,paul@patriotguitars.com,1,,,NEW,4,,,,,,,Phase A — Fix Loading/State
,B.1 - Remove web-specific code from main.dart,Strip out all kIsWeb conditionals and web-only logic from main.dart.,ReWord Rewrite and Release,,paul@patriotguitars.com,2,,,NEW,4,,,,,,,Phase B — Refactor and Cleanup
,B.2 - Stub out LoginDialog,Remove or stub LoginDialog - will be replaced by Firebase Auth in Phase C.,ReWord Rewrite and Release,,paul@patriotguitars.com,2,,,NEW,5,,,,,,,Phase B — Refactor and Cleanup
,B.3 - Stub out RegisterDialog,Remove or stub RegisterDialog - will be replaced by Firebase Auth in Phase C.,ReWord Rewrite and Release,,paul@patriotguitars.com,2,,,NEW,5,,,,,,,Phase B — Refactor and Cleanup
,B.4 - Remove password dialogs,"Remove PasswordRecoveryDialog, ResetPasswordDialog - no longer needed.",ReWord Rewrite and Release,,paul@patriotguitars.com,3,,,NEW,5,,,,,,,Phase B — Refactor and Cleanup
,B.5 - Remove WebUtils,Remove or stub WebUtils conditional logic since web not supported.,ReWord Rewrite and Release,,paul@patriotguitars.com,3,,,NEW,5,,,,,,,Phase B — Refactor and Cleanup
,B.6 - Audit and remove unused imports,Clean up all unused imports and dead files across the codebase.,ReWord Rewrite and Release,,paul@patriotguitars.com,4,,,NEW,4,,,,,,,Phase B — Refactor and Cleanup
,B.7 - Design GameController class,Design a unified GameController or master object to hold all game state.,ReWord Rewrite and Release,,paul@patriotguitars.com,2,,,NEW,4,,,,,,,Phase B — Refactor and Cleanup
,B.8 - Implement GameController,"Create GameController that handles: board, tiles, score, spelled words, notifiers.",ReWord Rewrite and Release,,paul@patriotguitars.com,2,,,NEW,2,,,,,,,Phase B — Refactor and Cleanup
,B.9 - Migrate state to GameController,Move scattered state from various managers into GameController.,ReWord Rewrite and Release,,paul@patriotguitars.com,2,,,NEW,2,,,,,,,Phase B — Refactor and Cleanup
,B.10 - Simplify WideScreen parameters,Reduce objects passed to WideScreen by using GameController.,ReWord Rewrite and Release,,paul@patriotguitars.com,3,,,NEW,4,,,,,,,Phase B — Refactor and Cleanup
,B.11 - Simplify NarrowScreen parameters,Reduce objects passed to NarrowScreen by using GameController.,ReWord Rewrite and Release,,paul@patriotguitars.com,3,,,NEW,4,,,,,,,Phase B — Refactor and Cleanup
,B.12 - Replace callbacks with GameController methods,"Screens read from GameController, not passed individual props.",ReWord Rewrite and Release,,paul@patriotguitars.com,3,,,NEW,4,,,,,,,Phase B — Refactor and Cleanup
,B.13 - Backend: Document active endpoints,Document which reword-api endpoints remain active after cleanup.,ReWord Rewrite and Release,,paul@patriotguitars.com,3,,,NEW,5,,,,,,,Phase B — Refactor and Cleanup
,B.14 - Backend: Remove/disable registration endpoints,Remove or disable user registration endpoints from routes/user.py.,ReWord Rewrite and Release,,paul@patriotguitars.com,3,,,NEW,5,,,,,,,Phase B — Refactor and Cleanup
,B.15 - Review folder structure,Ensure naming conventions and folder structure are consistent.,ReWord Rewrite and Release,,paul@patriotguitars.com,4,,,NEW,5,,,,,,,Phase B — Refactor and Cleanup
,B.16 - Update code comments,Update comments on modified code. Ensure GameController is well-documented.,ReWord Rewrite and Release,,paul@patriotguitars.com,4,,,NEW,4,,,,,,,Phase B — Refactor and Cleanup
,C.1 - Set up Firebase project,Create/configure Firebase project for Re-Word. Enable required services.,ReWord Rewrite and Release,,paul@patriotguitars.com,1,,,NEW,4,,,,,,,Phase C — Infrastructure and Distribution
,C.2 - Implement anonymous auth,Silent anonymous auth on first launch. User plays immediately without signup.,ReWord Rewrite and Release,,paul@patriotguitars.com,1,,,NEW,4,,,,,,,Phase C — Infrastructure and Distribution
,C.3 - Implement Apple Sign-in,Apple Sign-in integration - required for iOS App Store submission.,ReWord Rewrite and Release,,paul@patriotguitars.com,1,,,NEW,3,,,,,,,Phase C — Infrastructure and Distribution
,C.4 - Implement Google Sign-in,Google Sign-in integration for Android users.,ReWord Rewrite and Release,,paul@patriotguitars.com,2,,,NEW,4,,,,,,,Phase C — Infrastructure and Distribution
,C.5 - Implement account linking,Anonymous account can be linked to real account (Apple/Google/Email).,ReWord Rewrite and Release,,paul@patriotguitars.com,2,,,NEW,3,,,,,,,Phase C — Infrastructure and Distribution
,C.6 - Email/password auth (optional),Add email/password option if desired. Lower priority than social login.,ReWord Rewrite and Release,,paul@patriotguitars.com,4,,,NEW,4,,,,,,,Phase C — Infrastructure and Distribution
,C.7 - Backend: Update auth to validate Firebase tokens,Modify app/auth.py to verify Firebase ID tokens instead of custom tokens.,ReWord Rewrite and Release,,paul@patriotguitars.com,1,,,NEW,3,,,,,,,Phase C — Infrastructure and Distribution
,C.8 - Enable Firebase App Check,Protect API endpoints from abuse. Configure attestation providers.,ReWord Rewrite and Release,,paul@patriotguitars.com,2,,,NEW,4,,,,,,,Phase C — Infrastructure and Distribution
,C.9 - Set up Firebase Remote Config,"Enable remote feature flags, trial duration control, maintenance mode.",ReWord Rewrite and Release,,paul@patriotguitars.com,2,,,NEW,4,,,,,,,Phase C — Infrastructure and Distribution
,C.10 - Define Remote Config defaults,Set sensible offline defaults for all remote config values.,ReWord Rewrite and Release,,paul@patriotguitars.com,3,,,NEW,5,,,,,,,Phase C — Infrastructure and Distribution
,C.11 - Set up Firebase Cloud Messaging,Enable push notifications for daily reminders (optional).,ReWord Rewrite and Release,,paul@patriotguitars.com,4,,,NEW,4,,,,,,,Phase C — Infrastructure and Distribution
,C.12 - Integrate RevenueCat SDK,Add RevenueCat for handling Apple/Google IAP.,ReWord Rewrite and Release,,paul@patriotguitars.com,1,,,NEW,3,,,,,,,Phase C — Infrastructure and Distribution
,C.13 - Configure Apple IAP product,Create $2.99 one-time purchase product in App Store Connect.,ReWord Rewrite and Release,,paul@patriotguitars.com,1,,,NEW,4,,,,,,,Phase C — Infrastructure and Distribution
